master_position,instance_id,instance_text
01:03:07:025,spa:01:03:07:029,los hombres
01:03:07:026,spa:01:03:07:030,sin
01:03:07:027,spa:01:03:07:031,prepararles
01:03:07:028,spa:01:03:07:032,una vía
01:03:07:031,spa:01:03:07:033,para que
01:03:07:032,spa:01:03:07:034,cumplan
01:03:07:033,spa:01:03:07:035,lo
01:03:07:034,spa:01:03:07:036,que
01:03:07:035,spa:01:03:07:037,les ha mandado
,spa:01:03:07:038,.
01:03:08:001,spa:01:03:08:001,Y
01:03:08:002,spa:01:03:08:002,aconteció
01:03:08:003,spa:01:03:08:003,que
01:03:08:004,spa:01:03:08:008,al
01:03:08:005,spa:01:03:08:004,mi padre
01:03:08:006,spa:01:03:08:009,oír
01:03:08:007,spa:01:03:08:010,estas palabras
01:03:08:008,spa:01:03:08:005,quedó
01:03:08:009,spa:01:03:08:006,altamente
01:03:08:010,spa:01:03:08:007,complacido
,spa:01:03:08:011,","
01:03:08:011,spa:01:03:08:012,porque
01:03:08:012,spa:01:03:08:013,comprendió
01:03:08:013,spa:01:03:08:014,que
01:03:08:015,spa:01:03:08:016,me había bendecido
01:03:08:017,spa:01:03:08:015,el Señor
,spa:01:03:08:017,.
01:03:09:001,spa:01:03:09:001,Y
01:03:09:002,spa:01:03:09:002,yo
,spa:01:03:09:003,","
01:03:09:003,spa:01:03:09:004,Nefi
,spa:01:03:09:005,","
01:03:09:004,spa:01:03:09:006,y
01:03:09:005,spa:01:03:09:007,mis hermanos
01:03:09:006,spa:01:03:09:008,emprendimos
01:03:09:007,spa:01:03:09:009,la marcha
01:03:09:008,spa:01:03:09:010,por
01:03:09:009,spa:01:03:09:011,el desierto
,spa:01:03:09:012,","
01:03:09:010,spa:01:03:09:013,con
01:03:09:011,spa:01:03:09:014,nuestras tiendas
,spa:01:03:09:015,","
01:03:09:012,spa:01:03:09:016,para
01:03:09:013,spa:01:03:09:017,subir
01:03:09:014,spa:01:03:09:018,a
01:03:09:015,spa:01:03:09:019,la tierra
01:03:09:016,spa:01:03:09:020,de
01:03:09:017,spa:01:03:09:021,Jerusalén
,spa:01:03:09:022,.
01:03:10:001,spa:01:03:10:001,Y
01:03:10:002,spa:01:03:10:002,aconteció
01:03:10:003,spa:01:03:10:003,que
01:03:10:004,spa:01:03:10:004,cuando
01:03:10:005,spa:01:03:10:005,hubimos subido
01:03:10:006,spa:01:03:10:006,a
01:03:10:007,spa:01:03:10:007,la tierra
01:03:10:008,spa:01:03:10:008,de
01:03:10:009,spa:01:03:10:009,Jerusalén
,spa:01:03:10:010,","
01:03:10:010,spa:01:03:10:011,yo
01:03:10:011,spa:01:03:10:012,y
01:03:10:012,spa:01:03:10:013,mis hermanos
01:03:10:013,spa:01:03:10:014,deliberamos
01:03:10:014,spa:01:03:10:015,unos con otros
,spa:01:03:10:016,.
01:03:11:001,spa:01:03:11:001,Y
01:03:11:002,spa:01:03:11:002,echamos suertes
,spa:01:03:11:003,para
,spa:01:03:11:004,ver
01:03:11:003,spa:01:03:11:005,cuál
01:03:11:004,spa:01:03:11:006,de
01:03:11:005,spa:01:03:11:007,nosotros
01:03:11:006,spa:01:03:11:008,iría
01:03:11:007,spa:01:03:11:009,a
01:03:11:008,spa:01:03:11:010,la casa
01:03:11:009,spa:01:03:11:011,de
01:03:11:010,spa:01:03:11:012,Labán
,spa:01:03:11:013,.
01:03:11:011,spa:01:03:11:014,Y
01:03:11:012,spa:01:03:11:015,sucedió
01:03:11:013,spa:01:03:11:016,que
01:03:11:014,spa:01:03:11:017,la suerte
01:03:11:015,spa:01:03:11:018,cayó
01:03:11:016,spa:01:03:11:019,sobre
01:03:11:017,spa:01:03:11:020,Lamán
,spa:01:03:11:021,","
01:03:11:018,spa:01:03:11:022,y
01:03:11:020,spa:01:03:11:023,fue y entró
01:03:11:021,spa:01:03:11:024,en
01:03:11:022,spa:01:03:11:025,la casa
01:03:11:023,spa:01:03:11:026,de
01:03:11:024,spa:01:03:11:027,Labán
,,
01:03:11:025,spa:01:03:11:028,y
01:03:11:026,spa:01:03:11:029,habló
01:03:11:027,spa:01:03:11:030,con
01:03:11:028,spa:01:03:11:031,él
01:03:11:029,spa:01:03:11:032,mientras
01:03:11:030,spa:01:03:11:033,estaba sentado
01:03:11:031,spa:01:03:11:034,en
01:03:11:032,spa:01:03:11:035,su casa
,spa:01:03:11:036,.
01:03:12:001,spa:01:03:12:001,Y
01:03:12:002,spa:01:03:12:002,le pidió
01:03:12:003,spa:01:03:12:003,a
01:03:12:004,spa:01:03:12:004,Labán
01:03:12:005,spa:01:03:12:005,los anales
01:03:12:006,spa:01:03:12:006,que
01:03:12:007,spa:01:03:12:007,estaban
01:03:12:008,spa:01:03:12:008,grabados
01:03:12:009,spa:01:03:12:009,sobre
01:03:12:010,spa:01:03:12:010,las planchas
01:03:12:011,spa:01:03:12:011,de
01:03:12:012,spa:01:03:12:012,bronce
,,
01:03:12:013,spa:01:03:12:013,que
01:03:12:014,spa:01:03:12:014,contenían
01:03:12:015,spa:01:03:12:015,la genealogía
01:03:12:016,spa:01:03:12:016,de
01:03:12:017,spa:01:03:12:017,mi padre
,spa:01:03:12:018,.
01:03:13:001,spa:01:03:13:001,Y
01:03:13:002,spa:01:03:13:002,he aquí
,spa:01:03:13:003,","
01:03:13:003,spa:01:03:13:004,aconteció
01:03:13:004,spa:01:03:13:005,que
01:03:13:005,spa:01:03:13:006,Labán
01:03:13:006,spa:01:03:13:007,se llenó de
01:03:13:007,spa:01:03:13:008,ira
,,
01:03:13:008,spa:01:03:13:009,y
01:03:13:009,spa:01:03:13:010,lo echó
01:03:13:010,spa:01:03:13:011,de
01:03:13:011,spa:01:03:13:012,su presencia
,spa:01:03:13:013,;
01:03:13:012,spa:01:03:13:014,y
01:03:13:013,spa:01:03:13:015,no quiso
01:03:13:014,spa:01:03:13:016,que
01:03:13:015,spa:01:03:13:017,él tuviera
01:03:13:016,spa:01:03:13:018,los anales
,spa:01:03:13:019,.
01:03:13:017,spa:01:03:13:020,Por tanto
,spa:01:03:13:021,","
01:03:13:018,spa:01:03:13:022,le dijo
,spa:01:03:13:023,:
01:03:13:019,spa:01:03:13:024,He aquí
,spa:01:03:13:025,","
01:03:13:020,spa:01:03:13:026,tú eres
01:03:13:021,spa:01:03:13:027,un ladrón
,spa:01:03:13:028,","
01:03:13:022,spa:01:03:13:029,y
01:03:13:023,spa:01:03:13:030,te voy a matar
,spa:01:03:13:031,.
01:03:14:001,spa:01:03:14:001,Pero
01:03:14:002,spa:01:03:14:002,Lamán
01:03:14:003,spa:01:03:14:003,huyó
,,
01:03:14:005,spa:01:03:14:004,de
01:03:14:006,spa:01:03:14:005,su presencia
,spa:01:03:14:006,","
01:03:14:007,spa:01:03:14:007,y
01:03:14:008,spa:01:03:14:008,nos contó
01:03:14:009,spa:01:03:14:009,lo
01:03:14:010,spa:01:03:14:010,que
01:03:14:011,spa:01:03:14:011,Labán
01:03:14:012,spa:01:03:14:012,había hecho
,,
,,
,,
,spa:01:03:14:013,.
01:03:14:015,spa:01:03:14:014,Y
01:03:14:016,spa:01:03:14:015,empezamos
01:03:14:017,spa:01:03:14:016,a
,,
01:03:14:019,spa:01:03:14:017,en extremo
01:03:14:020,spa:01:03:14:018,afligirnos
,spa:01:03:14:019,","
01:03:14:021,spa:01:03:14:020,y
01:03:14:022,spa:01:03:14:021,mis hermanos
01:03:14:023,spa:01:03:14:022,estaban
01:03:14:024,spa:01:03:14:023,a punto
01:03:14:025,spa:01:03:14:024,de
01:03:14:026,spa:01:03:14:025,volver
01:03:14:027,spa:01:03:14:026,a
01:03:14:028,spa:01:03:14:027,mi padre
01:03:14:029,spa:01:03:14:028,en
01:03:14:030,spa:01:03:14:029,el desierto
,spa:01:03:14:030,.
01:03:15:001,spa:01:03:15:001,Pero
01:03:15:002,spa:01:03:15:002,he aquí
,spa:01:03:15:003,","
01:03:15:003,spa:01:03:15:004,yo les dije
,,
,spa:01:03:15:005,:
01:03:15:005,spa:01:03:15:006,Así como
01:03:15:006,spa:01:03:15:007,el Señor
01:03:15:007,spa:01:03:15:008,vive
,spa:01:03:15:009,","
01:03:15:008,spa:01:03:15:010,y
01:03:15:009,spa:01:03:15:011,como
01:03:15:010,spa:01:03:15:012,nosotros vivimos
,spa:01:03:15:013,","
01:03:15:011,spa:01:03:15:014,no descenderemos
01:03:15:012,spa:01:03:15:015,hasta
01:03:15:013,spa:01:03:15:016,nuestro padre
01:03:15:014,spa:01:03:15:017,en
01:03:15:015,spa:01:03:15:018,el desierto
01:03:15:016,spa:01:03:15:019,hasta
01:03:15:017,spa:01:03:15:020,que
01:03:15:018,spa:01:03:15:021,hayamos cumplido
01:03:15:019,spa:01:03:15:022,lo que
01:03:15:020,spa:01:03:15:023,el Señor
01:03:15:021,spa:01:03:15:024,nos ha mandado
,spa:01:03:15:025,.
01:03:16:001,spa:01:03:16:001,Por tanto
,spa:01:03:16:002,","
01:03:16:002,spa:01:03:16:003,seamos
01:03:16:003,spa:01:03:16:004,fieles
01:03:16:004,spa:01:03:16:005,en
01:03:16:005,spa:01:03:16:006,guardar
01:03:16:006,spa:01:03:16:007,los mandamientos
,,
01:03:16:008,spa:01:03:16:008,del Señor
,spa:01:03:16:009,.
01:03:16:009,spa:01:03:16:012,pues
,spa:01:03:16:013,","
01:03:16:010,spa:01:03:16:010,Descendamos
,spa:01:03:16:011,","
01:03:16:011,spa:01:03:16:014,a
01:03:16:012,spa:01:03:16:015,la tierra
01:03:16:013,spa:01:03:16:016,de
01:03:16:014,spa:01:03:16:017,de nuestro padre
01:03:16:015,spa:01:03:16:018,la herencia
,spa:01:03:16:019,","
01:03:16:016,spa:01:03:16:020,pues
01:03:16:017,spa:01:03:16:021,he aquí
,spa:01:03:16:022,","
01:03:16:018,spa:01:03:16:023,él dejó
01:03:16:019,spa:01:03:16:024,oro
01:03:16:020,spa:01:03:16:025,y
01:03:16:021,spa:01:03:16:026,plata
,,
01:03:16:022,spa:01:03:16:027,y
01:03:16:023,spa:01:03:16:028,toda
01:03:16:024,spa:01:03:16:029,clase
01:03:16:025,spa:01:03:16:030,de
01:03:16:026,spa:01:03:16:031,riquezas
,spa:01:03:16:032,;
01:03:16:027,spa:01:03:16:033,y
01:03:16:028,spa:01:03:16:035,todo
01:03:16:029,spa:01:03:16:036,esto
01:03:16:030,spa:01:03:16:034,ha hecho
01:03:16:031,spa:01:03:16:037,a causa
01:03:16:032,spa:01:03:16:038,de
01:03:16:033,spa:01:03:16:039,los mandamientos
,,
01:03:16:035,spa:01:03:16:040,del Señor
,spa:01:03:16:041,.
01:03:17:001,spa:01:03:17:001,Porque
01:03:17:002,spa:01:03:17:002,sabía
01:03:17:003,spa:01:03:17:003,que
01:03:17:004,spa:01:03:17:004,Jerusalén
01:03:17:005,spa:01:03:17:005,debe ser
01:03:17:006,spa:01:03:17:006,destruida
,,
01:03:17:007,spa:01:03:17:007,a causa
01:03:17:008,spa:01:03:17:008,de
01:03:17:009,spa:01:03:17:009,la iniquidad
,,
01:03:17:011,spa:01:03:17:010,del pueblo
,spa:01:03:17:011,.
01:03:18:001,spa:01:03:18:001,Pues
01:03:18:002,spa:01:03:18:002,he aquí
,spa:01:03:18:003,","
01:03:18:003,spa:01:03:18:004,han rechazado
01:03:18:004,spa:01:03:18:005,las palabras
01:03:18:005,spa:01:03:18:006,de
01:03:18:006,spa:01:03:18:007,los profetas
,spa:01:03:18:008,.
01:03:18:007,spa:01:03:18:009,Por tanto
,spa:01:03:18:010,","
01:03:18:008,spa:01:03:18:011,si
01:03:18:009,spa:01:03:18:012,mi padre
01:03:18:010,spa:01:03:18:013,hubiera permanecido
01:03:18:011,spa:01:03:18:014,en
01:03:18:012,spa:01:03:18:015,el país
01:03:18:013,spa:01:03:18:016,después de
01:03:18:014,spa:01:03:18:017,habérsele
01:03:18:015,spa:01:03:18:018,mandado
01:03:18:016,spa:01:03:18:019,salir
,,
01:03:18:018,spa:01:03:18:020,de
01:03:18:019,spa:01:03:18:021,él
,spa:01:03:18:022,","
,,
,,
01:03:18:021,spa:01:03:18:023,habría perecido
01:03:18:022,spa:01:03:18:024,también
,,
,spa:01:03:18:025,.
01:03:18:024,spa:01:03:18:026,Por lo que
,,
01:03:18:025,spa:01:03:18:027,ha sido necesario
01:03:18:026,spa:01:03:18:028,que
01:03:18:027,spa:01:03:18:029,salga
,,
01:03:18:029,spa:01:03:18:030,del país
,spa:01:03:18:031,.
01:03:19:001,spa:01:03:19:001,Y
01:03:19:002,spa:01:03:19:002,he aquí
,spa:01:03:19:003,","
01:03:19:003,spa:01:03:19:004,es
01:03:19:004,spa:01:03:19:005,prudente
01:03:19:005,spa:01:03:19:006,para
01:03:19:006,spa:01:03:19:007,Dios
01:03:19:007,spa:01:03:19:008,que
01:03:19:008,spa:01:03:19:009,obtengamos
01:03:19:009,spa:01:03:19:010,estos anales
,,
01:03:19:010,spa:01:03:19:011,a fin de que
01:03:19:011,spa:01:03:19:012,preservemos
01:03:19:012,spa:01:03:19:013,para
01:03:19:013,spa:01:03:19:014,nuestros hijos
01:03:19:014,spa:01:03:19:015,el idioma
01:03:19:015,spa:01:03:19:016,de
01:03:19:016,spa:01:03:19:017,nuestros padres
,spa:01:03:19:018,;
01:03:20:001,spa:01:03:20:001,y
01:03:20:002,spa:01:03:20:002,también
01:03:20:003,spa:01:03:20:003,para
01:03:20:004,spa:01:03:20:004,preservarles
01:03:20:005,spa:01:03:20:005,las palabras
01:03:20:006,spa:01:03:20:006,que
01:03:20:007,spa:01:03:20:007,han
01:03:20:008,spa:01:03:20:008,salido
01:03:20:009,spa:01:03:20:009,de
01:03:20:010,spa:01:03:20:010,la boca
01:03:20:011,spa:01:03:20:011,de
01:03:20:012,spa:01:03:20:012,todos
01:03:20:013,spa:01:03:20:013,los
01:03:20:014,spa:01:03:20:014,santos
01:03:20:015,spa:01:03:20:015,profetas
,spa:01:03:20:016,","
01:03:20:016,spa:01:03:20:017,las cuales
01:03:20:017,spa:01:03:20:018,les han sido
01:03:20:018,spa:01:03:20:019,dadas
01:03:20:019,spa:01:03:20:020,por
01:03:20:020,spa:01:03:20:021,el Espíritu
01:03:20:021,spa:01:03:20:022,y
01:03:20:022,spa:01:03:20:023,poder
01:03:20:023,spa:01:03:20:024,de
01:03:20:024,spa:01:03:20:025,Dios
,spa:01:03:20:026,","
01:03:20:025,spa:01:03:20:027,desde
01:03:20:026,spa:01:03:20:028,el principio
01:03:20:027,spa:01:03:20:029,del mundo
,spa:01:03:20:030,","
,,
,,
01:03:20:030,spa:01:03:20:031,hasta
01:03:20:031,spa:01:03:20:032,el día de hoy
,spa:01:03:20:033,.
01:03:21:001,spa:01:03:21:001,Y
01:03:21:002,spa:01:03:21:002,aconteció
01:03:21:003,spa:01:03:21:003,que
,spa:01:03:21:004,","
,,
01:03:21:005,spa:01:03:21:007,este modo
01:03:21:006,spa:01:03:21:006,de
01:03:21:007,spa:01:03:21:005,hablando
,spa:01:03:21:008,","
01:03:21:008,spa:01:03:21:009,persuadí
01:03:21:009,spa:01:03:21:010,a mis hermanos
,,
01:03:21:010,spa:01:03:21:011,a que
01:03:21:011,spa:01:03:21:012,fueran
01:03:21:012,spa:01:03:21:013,fieles
01:03:21:013,spa:01:03:21:014,en
01:03:21:014,spa:01:03:21:015,guardar
01:03:21:015,spa:01:03:21:016,los mandamientos
01:03:21:016,spa:01:03:21:017,de
01:03:21:017,spa:01:03:21:018,Dios
,spa:01:03:21:019,.
01:03:22:001,spa:01:03:22:001,Y
01:03:22:002,spa:01:03:22:002,sucedió
01:03:22:003,spa:01:03:22:003,que
01:03:22:004,spa:01:03:22:004,descendimos
01:03:22:005,spa:01:03:22:005,a
01:03:22:006,spa:01:03:22:006,la tierra
01:03:22:007,spa:01:03:22:007,de
01:03:22:008,spa:01:03:22:008,nuestra herencia
,,
01:03:22:009,spa:01:03:22:009,y
01:03:22:010,spa:01:03:22:010,recogimos
01:03:22:011,spa:01:03:22:011,nuestro oro
,spa:01:03:22:012,","
01:03:22:012,spa:01:03:22:013,y
01:03:22:013,spa:01:03:22:014,nuestra plata
,,
01:03:22:014,spa:01:03:22:015,y
,spa:01:03:22:016,todos
01:03:22:015,spa:01:03:22:017,nuestros
01:03:22:016,spa:01:03:22:019,preciosos
01:03:22:017,spa:01:03:22:018,objetos
,spa:01:03:22:020,.
01:03:23:001,spa:01:03:23:001,Y
01:03:23:002,spa:01:03:23:002,después de
01:03:23:003,spa:01:03:23:003,haber recogido
01:03:23:004,spa:01:03:23:004,estas cosas
,,
,spa:01:03:23:005,","
01:03:23:006,spa:01:03:23:006,volvimos
,,
01:03:23:008,spa:01:03:23:007,a
01:03:23:009,spa:01:03:23:008,la casa
01:03:23:010,spa:01:03:23:009,de
01:03:23:011,spa:01:03:23:010,Labán
,spa:01:03:23:011,.
01:03:24:001,spa:01:03:24:001,Y
01:03:24:002,spa:01:03:24:002,acaeció
01:03:24:003,spa:01:03:24:003,que
01:03:24:004,spa:01:03:24:004,entramos
01:03:24:005,spa:01:03:24:005,donde estaba
01:03:24:006,spa:01:03:24:006,Labán
,spa:01:03:24:007,","
01:03:24:007,spa:01:03:24:008,y
01:03:24:008,spa:01:03:24:009,le pedimos
01:03:24:009,spa:01:03:24:010,que
01:03:24:010,spa:01:03:24:011,nos diera
01:03:24:011,spa:01:03:24:012,los anales
01:03:24:012,spa:01:03:24:013,que
01:03:24:013,spa:01:03:24:014,estaban
01:03:24:014,spa:01:03:24:015,grabados
01:03:24:015,spa:01:03:24:016,sobre
01:03:24:016,spa:01:03:24:017,las planchas
01:03:24:017,spa:01:03:24:018,de
01:03:24:018,spa:01:03:24:019,bronce
,spa:01:03:24:020,","
01:03:24:019,spa:01:03:24:021,a cambio de
01:03:24:020,spa:01:03:24:022,los cuales
01:03:24:021,spa:01:03:24:023,le entregaríamos
01:03:24:022,spa:01:03:24:024,nuestro oro
,spa:01:03:24:025,","
01:03:24:023,spa:01:03:24:026,y
01:03:24:024,spa:01:03:24:027,nuestra plata
,spa:01:03:24:028,","
01:03:24:025,spa:01:03:24:029,y
01:03:24:026,spa:01:03:24:030,todas
01:03:24:027,spa:01:03:24:031,nuestras
01:03:24:028,spa:01:03:24:033,preciosas
01:03:24:029,spa:01:03:24:032,cosas
,spa:01:03:24:034,.
01:03:25:001,spa:01:03:25:001,Y
01:03:25:002,spa:01:03:25:002,aconteció
01:03:25:003,spa:01:03:25:003,que
01:03:25:004,spa:01:03:25:004,cuando
01:03:25:005,spa:01:03:25:005,Labán
01:03:25:006,spa:01:03:25:006,vio
01:03:25:007,spa:01:03:25:007,nuestros bienes
,spa:01:03:25:008,","
01:03:25:008,spa:01:03:25:009,y
