master_position,instance_id,instance_text
01:01:04:037,eng:01:01:04:046,or
01:01:04:038,eng:01:01:04:047,the
01:01:04:039,eng:01:01:04:048,great
01:01:04:040,eng:01:01:04:049,city
01:01:04:041,eng:01:01:04:050,Jerusalem
01:01:04:042,eng:01:01:04:051,must be
01:01:04:043,eng:01:01:04:052,destroyed
00:00:00:001,eng:01:01:04:053,.
01:01:05:002,eng:01:01:05:002,it came to pass
01:01:05:001,eng:01:01:05:001,Wherefore
01:01:05:003,eng:01:01:05:003,that
01:01:05:004,eng:01:01:05:004,my father
00:00:00:001,eng:01:01:05:005,","
01:01:05:005,eng:01:01:05:006,Lehi
00:00:00:001,eng:01:01:05:007,","
01:01:05:006,eng:01:01:05:008,as
01:01:05:007,eng:01:01:05:009,he went forth
01:01:05:008,eng:01:01:05:010,prayed
01:01:05:009,eng:01:01:05:011,unto
01:01:05:010,eng:01:01:05:012,the Lord
00:00:00:001,eng:01:01:05:013,","
01:01:05:011,eng:01:01:05:014,yea
00:00:00:001,eng:01:01:05:015,","
01:01:05:012,eng:01:01:05:016,even
01:01:05:013,eng:01:01:05:017,with
01:01:05:014,eng:01:01:05:018,all
01:01:05:015,eng:01:01:05:019,his heart
00:00:00:001,eng:01:01:05:020,","
01:01:05:016,eng:01:01:05:021,in
01:01:05:017,eng:01:01:05:022,behalf
01:01:05:018,eng:01:01:05:023,of
01:01:05:019,eng:01:01:05:024,his people
00:00:00:001,eng:01:01:05:025,.
01:01:06:001,eng:01:01:06:001,And
01:01:06:002,eng:01:01:06:002,it came to pass
01:01:06:003,eng:01:01:06:003,as
01:01:06:004,eng:01:01:06:004,he prayed
01:01:06:005,eng:01:01:06:005,unto
01:01:06:006,eng:01:01:06:006,the Lord
00:00:00:001,eng:01:01:06:007,","
01:01:06:007,eng:01:01:06:008,there came
01:01:06:015,eng:01:01:06:016,before
01:01:06:016,eng:01:01:06:017,him
00:00:00:001,eng:01:01:06:018,;
01:01:06:013,eng:01:01:06:014,upon
01:01:06:014,eng:01:01:06:015,a rock
01:01:06:008,eng:01:01:06:009,a pillar
01:01:06:009,eng:01:01:06:010,of
01:01:06:010,eng:01:01:06:011,fire
01:01:06:011,eng:01:01:06:012,and
01:01:06:012,eng:01:01:06:013,dwelt
01:01:06:017,eng:01:01:06:019,and
01:01:06:021,eng:01:01:06:023,much
01:01:06:018,eng:01:01:06:020,he saw
01:01:06:019,eng:01:01:06:021,and
01:01:06:020,eng:01:01:06:022,heard
00:00:00:001,eng:01:01:06:024,;
01:01:06:022,eng:01:01:06:025,and
01:01:06:030,eng:01:01:06:033,he did quake
01:01:06:031,eng:01:01:06:034,and
01:01:06:032,eng:01:01:06:035,tremble
01:01:06:033,eng:01:01:06:036,exceedingly
01:01:06:023,eng:01:01:06:026,because
01:01:06:024,eng:01:01:06:027,of
01:01:06:025,eng:01:01:06:028,the things
01:01:06:026,eng:01:01:06:029,which
01:01:06:027,eng:01:01:06:030,he saw
01:01:06:028,eng:01:01:06:031,and
01:01:06:029,eng:01:01:06:032,heard
00:00:00:001,eng:01:01:06:037,.
01:01:07:001,eng:01:01:07:001,And
01:01:07:002,eng:01:01:07:002,it came to pass
01:01:07:003,eng:01:01:07:003,that
01:01:07:004,eng:01:01:07:004,he returned
01:01:07:005,eng:01:01:07:005,to
01:01:07:006,eng:01:01:07:006,his
01:01:07:007,eng:01:01:07:007,own
01:01:07:008,eng:01:01:07:008,house
01:01:07:009,eng:01:01:07:009,at
01:01:07:010,eng:01:01:07:010,Jerusalem
00:00:00:001,eng:01:01:07:011,;
01:01:07:011,eng:01:01:07:012,and
01:01:07:012,eng:01:01:07:013,he
01:01:07:013,eng:01:01:07:014,cast himself
01:01:07:014,eng:01:01:07:015,upon
01:01:07:015,eng:01:01:07:016,his bed
00:00:00:001,eng:01:01:07:017,","
01:01:07:016,eng:01:01:07:018,being
01:01:07:017,eng:01:01:07:019,overcome
01:01:07:018,eng:01:01:07:020,with
01:01:07:019,eng:01:01:07:021,the Spirit
01:01:07:020,eng:01:01:07:022,and
01:01:07:021,eng:01:01:07:023,the things
01:01:07:022,eng:01:01:07:024,which
01:01:07:023,eng:01:01:07:025,he had seen
00:00:00:001,eng:01:01:07:026,.
01:01:08:001,eng:01:01:08:001,And
01:01:08:002,eng:01:01:08:002,overcome
01:01:08:003,eng:01:01:08:003,being
01:01:08:004,eng:01:01:08:004,thus
01:01:08:005,eng:01:01:08:005,with
01:01:08:006,eng:01:01:08:006,the Spirit
00:00:00:001,eng:01:01:08:007,","
01:01:08:007,eng:01:01:08:008,he was
01:01:08:008,eng:01:01:08:009,carried away
01:01:08:009,eng:01:01:08:010,in
01:01:08:010,eng:01:01:08:011,a vision
00:00:00:001,eng:01:01:08:012,","
01:01:08:011,eng:01:01:08:013,even
01:01:08:012,eng:01:01:08:014,that
01:01:08:013,eng:01:01:08:015,he saw
01:01:08:014,eng:01:01:08:016,open
01:01:08:015,eng:01:01:08:017,the heavens
00:00:00:001,eng:01:01:08:018,","
01:01:08:016,eng:01:01:08:019,and
01:01:08:017,eng:01:01:08:020,he thought
01:01:08:018,eng:01:01:08:021,he saw
01:01:08:019,eng:01:01:08:022,God
01:01:08:020,eng:01:01:08:023,sitting
01:01:08:021,eng:01:01:08:024,upon
01:01:08:022,eng:01:01:08:025,his throne
00:00:00:001,eng:01:01:08:026,","
01:01:08:023,eng:01:01:08:027,surrounded
01:01:08:024,eng:01:01:08:028,with
01:01:08:025,eng:01:01:08:029,numberless
01:01:08:026,eng:01:01:08:030,concourses
01:01:08:027,eng:01:01:08:031,of
01:01:08:028,eng:01:01:08:032,Angels
01:01:08:029,eng:01:01:08:033,in
01:01:08:030,eng:01:01:08:034,the attitude
01:01:08:031,eng:01:01:08:035,of
01:01:08:032,eng:01:01:08:036,singing
01:01:08:033,eng:01:01:08:037,and
01:01:08:034,eng:01:01:08:038,praising
01:01:08:035,eng:01:01:08:039,their God
00:00:00:001,eng:01:01:08:040,.
01:01:09:001,eng:01:01:09:001,And
01:01:09:002,eng:01:01:09:002,it came to pass
01:01:09:003,eng:01:01:09:003,that
01:01:09:004,eng:01:01:09:004,he saw
01:01:09:005,eng:01:01:09:005,One
01:01:09:006,eng:01:01:09:006,descending
01:01:09:007,eng:01:01:09:007,out
01:01:09:008,eng:01:01:09:008,of
01:01:09:009,eng:01:01:09:009,the midst
01:01:09:010,eng:01:01:09:010,of
01:01:09:011,eng:01:01:09:011,heaven
00:00:00:001,eng:01:01:09:012,","
01:01:09:012,eng:01:01:09:013,and
01:01:09:013,eng:01:01:09:014,he beheld
01:01:09:014,eng:01:01:09:015,that
01:01:09:015,eng:01:01:09:016,his luster
01:01:09:016,eng:01:01:09:017,was
01:01:09:017,eng:01:01:09:018,above
01:01:09:018,eng:01:01:09:019,that
01:01:09:019,eng:01:01:09:020,of
01:01:09:020,eng:01:01:09:021,the sun
01:01:09:021,eng:01:01:09:022,at
01:01:09:022,eng:01:01:09:023,noon-day
00:00:00:001,eng:01:01:09:024,.
01:01:10:001,eng:01:01:10:001,And
01:01:10:002,eng:01:01:10:002,he
01:01:10:004,eng:01:01:10:003,saw
01:01:10:003,eng:01:01:10:004,also
01:01:10:007,eng:01:01:10:005,following him
01:01:10:006,eng:01:01:10:006,others
01:01:10:005,eng:01:01:10:007,twelve
00:00:00:001,eng:01:01:10:008,","
01:01:10:008,eng:01:01:10:009,and
01:01:10:009,eng:01:01:10:010,their brightness
01:01:10:010,eng:01:01:10:011,did exceed
01:01:10:011,eng:01:01:10:012,that
01:01:10:012,eng:01:01:10:013,of
01:01:10:013,eng:01:01:10:014,the stars
01:01:10:014,eng:01:01:10:015,in
01:01:10:015,eng:01:01:10:016,the firmament
00:00:00:001,eng:01:01:10:017,.
01:01:11:001,eng:01:01:11:001,And
01:01:11:002,eng:01:01:11:002,they came down
01:01:11:003,eng:01:01:11:003,and
01:01:11:004,eng:01:01:11:004,went forth
01:01:11:005,eng:01:01:11:005,upon
01:01:11:006,eng:01:01:11:006,the face
01:01:11:007,eng:01:01:11:007,of
01:01:11:008,eng:01:01:11:008,the earth
00:00:00:001,eng:01:01:11:009,;
01:01:11:009,eng:01:01:11:010,and
01:01:11:010,eng:01:01:11:011,the first
01:01:11:011,eng:01:01:11:012,came
01:01:11:012,eng:01:01:11:013,and
01:01:11:013,eng:01:01:11:014,stood
01:01:11:014,eng:01:01:11:015,before
01:01:11:015,eng:01:01:11:016,my father
00:00:00:001,eng:01:01:11:017,","
01:01:11:016,eng:01:01:11:018,and
01:01:11:017,eng:01:01:11:019,gave unto him
01:01:11:018,eng:01:01:11:020,a book
00:00:00:001,eng:01:01:11:021,","
01:01:11:019,eng:01:01:11:022,and
01:01:11:020,eng:01:01:11:023,bade him
01:01:11:021,eng:01:01:11:024,that
01:01:11:022,eng:01:01:11:025,he should read
00:00:00:001,eng:01:01:11:026,.
01:01:12:001,eng:01:01:12:001,And
01:01:12:002,eng:01:01:12:002,it came to pass
01:01:12:003,eng:01:01:12:003,that
01:01:12:004,eng:01:01:12:004,as
01:01:12:005,eng:01:01:12:005,he read
00:00:00:001,eng:01:01:12:006,","
01:01:12:006,eng:01:01:12:007,he was
01:01:12:007,eng:01:01:12:008,filled
01:01:12:008,eng:01:01:12:009,with
01:01:12:009,eng:01:01:12:010,the Spirit
01:01:12:010,eng:01:01:12:011,of
01:01:12:011,eng:01:01:12:012,the Lord
00:00:00:001,eng:01:01:12:013,.
01:01:13:001,eng:01:01:13:001,And
01:01:13:002,eng:01:01:13:002,he read
00:00:00:001,eng:01:01:13:003,","
01:01:13:003,eng:01:01:13:004,saying
00:00:00:001,eng:01:01:13:005,:
01:01:13:004,eng:01:01:13:006,wo
00:00:00:001,eng:01:01:13:007,","
01:01:13:005,eng:01:01:13:008,wo
00:00:00:001,eng:01:01:13:009,","
01:01:13:006,eng:01:01:13:010,unto
01:01:13:007,eng:01:01:13:011,Jerusalem
00:00:00:001,eng:01:01:13:012,","
01:01:13:008,eng:01:01:13:013,for
01:01:13:009,eng:01:01:13:014,I have seen
01:01:13:010,eng:01:01:13:015,thine abominations
00:00:00:001,eng:01:01:13:016,!
01:01:13:011,eng:01:01:13:017,Yea
00:00:00:001,eng:01:01:13:018,","
01:01:13:012,eng:01:01:13:019,and
01:01:13:016,eng:01:01:13:023,my father
01:01:13:017,eng:01:01:13:024,read
01:01:13:013,eng:01:01:13:020,many
01:01:13:014,eng:01:01:13:021,things
01:01:13:015,eng:01:01:13:022,did
