master_position,instance_id,instance_text,chunk_id
01:01:04:003,eng:01:01:04:003,in,eng_chk_00137
01:01:04:004,eng:01:01:04:004,the commencement,eng_chk_00213
01:01:04:005,eng:01:01:04:005,of,eng_chk_00170
01:01:04:006,eng:01:01:04:006,the,eng_chk_00209
01:01:04:007,eng:01:01:04:007,first,eng_chk_00070
01:01:04:008,eng:01:01:04:008,year,eng_chk_00293
01:01:04:009,eng:01:01:04:009,of,eng_chk_00170
01:01:04:010,eng:01:01:04:010,the reign,eng_chk_00236
01:01:04:011,eng:01:01:04:011,of,eng_chk_00170
01:01:04:012,eng:01:01:04:012,Zedekiah,eng_chk_00294
00:00:00:001,eng:01:01:04:013,",",eng_chk_00005
01:01:04:013,eng:01:01:04:014,king,eng_chk_00144
01:01:04:014,eng:01:01:04:015,of,eng_chk_00170
01:01:04:015,eng:01:01:04:016,Judah,eng_chk_00143
00:00:00:001,eng:01:01:04:017,",",eng_chk_00005
00:00:00:001,eng:01:01:04:018,(,eng_chk_00003
01:01:04:016,eng:01:01:04:019,my father,eng_chk_00161
00:00:00:001,eng:01:01:04:020,",",eng_chk_00005
01:01:04:017,eng:01:01:04:021,Lehi,eng_chk_00146
00:00:00:001,eng:01:01:04:022,",",eng_chk_00005
01:01:04:018,eng:01:01:04:023,having dwelt,eng_chk_00087
01:01:04:019,eng:01:01:04:024,at,eng_chk_00033
01:01:04:020,eng:01:01:04:025,Jerusalem,eng_chk_00142
01:01:04:021,eng:01:01:04:026,in,eng_chk_00137
01:01:04:022,eng:01:01:04:027,all,eng_chk_00022
01:01:04:023,eng:01:01:04:028,his days,eng_chk_00117
00:00:00:001,eng:01:01:04:029,),eng_chk_00004
00:00:00:001,eng:01:01:04:030,;,eng_chk_00008
01:01:04:024,eng:01:01:04:031,and,eng_chk_00028
01:01:04:025,eng:01:01:04:032,in,eng_chk_00137
01:01:04:026,eng:01:01:04:033,that,eng_chk_00208
01:01:04:027,eng:01:01:04:034,same,eng_chk_00189
01:01:04:028,eng:01:01:04:035,year,eng_chk_00293
01:01:04:029,eng:01:01:04:036,there came,eng_chk_00251
01:01:04:030,eng:01:01:04:037,many,eng_chk_00151
01:01:04:031,eng:01:01:04:038,prophets,eng_chk_00187
00:00:00:001,eng:01:01:04:039,",",eng_chk_00005
01:01:04:032,eng:01:01:04:040,prophesying,eng_chk_00186
01:01:04:033,eng:01:01:04:041,unto,eng_chk_00276
01:01:04:034,eng:01:01:04:042,the people,eng_chk_00230
01:01:04:035,eng:01:01:04:043,that,eng_chk_00208
01:01:04:036,eng:01:01:04:044,they must repent,eng_chk_00259
00:00:00:001,eng:01:01:04:045,",",eng_chk_00005
01:01:04:037,eng:01:01:04:046,or,eng_chk_00174
01:01:04:038,eng:01:01:04:047,the,eng_chk_00209
01:01:04:039,eng:01:01:04:048,great,eng_chk_00078
01:01:04:040,eng:01:01:04:049,city,eng_chk_00049
01:01:04:041,eng:01:01:04:050,Jerusalem,eng_chk_00142
01:01:04:042,eng:01:01:04:051,must be,eng_chk_00159
01:01:04:043,eng:01:01:04:052,destroyed,eng_chk_00057
00:00:00:001,eng:01:01:04:053,.,eng_chk_00006
01:01:05:001,eng:01:01:05:001,Wherefore,eng_chk_00282
01:01:05:002,eng:01:01:05:002,it came to pass,eng_chk_00140
01:01:05:003,eng:01:01:05:003,that,eng_chk_00208
01:01:05:004,eng:01:01:05:004,my father,eng_chk_00161
00:00:00:001,eng:01:01:05:005,",",eng_chk_00005
01:01:05:005,eng:01:01:05:006,Lehi,eng_chk_00146
00:00:00:001,eng:01:01:05:007,",",eng_chk_00005
01:01:05:006,eng:01:01:05:008,as,eng_chk_00032
01:01:05:007,eng:01:01:05:009,he went forth,eng_chk_00107
01:01:05:008,eng:01:01:05:010,prayed,eng_chk_00184
01:01:05:009,eng:01:01:05:011,unto,eng_chk_00276
